                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.71038,                 0.5656,                0.96293,                0.95855,                0.99104,                0.98273,                0.85065,                0.55975,                0.51407,                0.95387,              0.0003764,              0.0003764,              0.0003764
                     85,                0.66854,                0.55687,                0.97005,                0.95536,                0.99359,                0.98258,                0.85556,                0.55347,                0.51253,                0.95363,              0.0003566,              0.0003566,              0.0003566
                     86,                0.66175,                0.56643,                0.97415,                0.96024,                0.98929,                0.98219,                0.85902,                0.55211,                0.50809,                0.95564,              0.0003368,              0.0003368,              0.0003368
                     87,                0.68259,                0.55619,                0.99565,                0.95203,                0.99221,                 0.9831,                 0.8513,                0.56948,                 0.5097,                0.97046,               0.000317,               0.000317,               0.000317
                     88,                0.70538,                0.58573,                0.97429,                0.95853,                0.99063,                0.98418,                0.86901,                 0.5276,                 0.5018,                0.95765,              0.0002972,              0.0002972,              0.0002972
                     89,                0.70105,                0.60074,                0.99297,                0.95535,                0.99331,                 0.9836,                0.87426,                0.51466,                0.49842,                0.95025,              0.0002774,              0.0002774,              0.0002774
                     90,                0.66139,                0.58561,                0.96891,                 0.9513,                0.99643,                0.98151,                 0.8569,                0.55832,                0.51795,                0.95316,              0.0002576,              0.0002576,              0.0002576
                     91,                0.54681,                0.54204,                0.92953,                0.95212,                0.99434,                0.98269,                0.85903,                0.55998,                0.52088,                0.95843,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.5718,                0.60122,                 0.9736,                0.95874,                0.99286,                0.98466,                0.86985,                0.52537,                0.50834,                0.95408,               0.000218,               0.000218,               0.000218
                     93,                0.54629,                0.53283,                0.95396,                0.95981,                0.99286,                0.98559,                0.87243,                0.51445,                0.50284,                0.94988,              0.0001982,              0.0001982,              0.0001982
                     94,                0.52528,                0.50229,                 0.9327,                0.96168,                0.99286,                0.98682,                0.88063,                0.50853,                0.49106,                 0.9463,              0.0001784,              0.0001784,              0.0001784
                     95,                0.58402,                0.62982,                0.95542,                0.95853,                0.99286,                0.98697,                0.87331,                0.52432,                0.48894,                0.94543,              0.0001586,              0.0001586,              0.0001586
                     96,                0.51801,                0.48312,                0.91436,                0.95854,                0.99643,                0.98634,                0.87529,                0.51383,                0.48606,                0.94336,              0.0001388,              0.0001388,              0.0001388
                     97,                0.52252,                0.49568,                0.93238,                0.95686,                0.99643,                0.98594,                0.88088,                 0.5078,                0.48433,                0.94074,               0.000119,               0.000119,               0.000119
                     98,                0.51659,                0.48059,                0.93432,                0.95584,                0.99643,                0.98534,                0.87991,                0.49569,                0.48188,                0.93395,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.51128,                0.47586,                0.90738,                0.95533,                      1,                0.98581,                 0.8854,                  0.482,                 0.4818,                0.92979,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.54568,                0.49796,                0.94002,                0.95439,                      1,                0.98612,                0.88995,                0.47601,                0.47611,                0.92857,               5.96e-05,               5.96e-05,               5.96e-05
